date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:43:55	194/194	---MCZ	200	added ('OK')	text/plain	date:Thu,%2024%20Aug%202023%2019:55:12%20GMT	https://grubwebservice.com/robots.txt		(from )
13:43:56	20304/20304	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Sep%202023%2008:13:55%20GMT	https://grubwebservice.com/	C:/My%20Web%20Sites/new%20ajay/grubwebservice.com/index.html	(from )
13:43:57	4908/4908	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Sep%202022%2006:35:22%20GMT	https://grubwebservice.com/grubwebservice-favicon.png	C:/My%20Web%20Sites/new%20ajay/grubwebservice.com/grubwebservice-favicon.png	(from https://grubwebservice.com/)
13:43:58	193481/193481	---MCZ	200	added ('OK')	text/css	date:Thu,%2011%20Aug%202022%2022:23:36%20GMT	https://grubwebservice.com/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/new%20ajay/grubwebservice.com/assets/css/bootstrap.min.css	(from https://grubwebservice.com/)
13:43:59	68606/68606	---MCZ	200	added ('OK')	text/css	date:Thu,%2011%20Aug%202022%2022:23:36%20GMT	https://grubwebservice.com/assets/css/animate.css	C:/My%20Web%20Sites/new%20ajay/grubwebservice.com/assets/css/animate.css	(from https://grubwebservice.com/)
13:43:59	13135/13135	---MCZ	200	added ('OK')	text/css	date:Thu,%2011%20Aug%202022%2022:23:36%20GMT	https://grubwebservice.com/assets/css/custom-animation.css	C:/My%20Web%20Sites/new%20ajay/grubwebservice.com/assets/css/custom-animation.css	(from https://grubwebservice.com/)
13:44:01	1776/1776	---MCZ	200	added ('OK')	text/css	date:Thu,%2011%20Aug%202022%2022:23:36%20GMT	https://grubwebservice.com/assets/css/slick.css	C:/My%20Web%20Sites/new%20ajay/grubwebservice.com/assets/css/slick.css	(from https://grubwebservice.com/)
13:44:02	2276/2276	---MCZ	200	added ('OK')	text/css	date:Thu,%2011%20Aug%202022%2022:23:36%20GMT	https://grubwebservice.com/assets/css/flaticon.css	C:/My%20Web%20Sites/new%20ajay/grubwebservice.com/assets/css/flaticon.css	(from https://grubwebservice.com/)
13:44:03	15806/15806	---MCZ	200	added ('OK')	text/css	date:Thu,%2011%20Aug%202022%2022:23:36%20GMT	https://grubwebservice.com/assets/css/swiper-bundle.css	C:/My%20Web%20Sites/new%20ajay/grubwebservice.com/assets/css/swiper-bundle.css	(from https://grubwebservice.com/)
13:44:03	2711/2711	---MCZ	200	added ('OK')	text/css	date:Thu,%2011%20Aug%202022%2022:23:36%20GMT	https://grubwebservice.com/assets/css/meanmenu.css	C:/My%20Web%20Sites/new%20ajay/grubwebservice.com/assets/css/meanmenu.css	(from https://grubwebservice.com/)
13:44:05	174119/174119	---MCZ	200	added ('OK')	text/css	date:Thu,%2011%20Aug%202022%2022:23:36%20GMT	https://grubwebservice.com/assets/css/font-awesome-pro.css	C:/My%20Web%20Sites/new%20ajay/grubwebservice.com/assets/css/font-awesome-pro.css	(from https://grubwebservice.com/)
13:44:05	6951/6951	---MCZ	200	added ('OK')	text/css	date:Thu,%2011%20Aug%202022%2022:23:36%20GMT	https://grubwebservice.com/assets/css/magnific-popup.css	C:/My%20Web%20Sites/new%20ajay/grubwebservice.com/assets/css/magnific-popup.css	(from https://grubwebservice.com/)
13:44:06	10603/10603	---MCZ	200	added ('OK')	text/css	date:Thu,%2011%20Aug%202022%2022:23:36%20GMT	https://grubwebservice.com/assets/css/spacing.css	C:/My%20Web%20Sites/new%20ajay/grubwebservice.com/assets/css/spacing.css	(from https://grubwebservice.com/)
